"crop","Class"
"Wheat","Cereal and Pulses"
"Rice","Cereal and Pulses"
"Maize (corn)","Cereal and Pulses"
"Sorghum","Cereal and Pulses"
"Beans, dry","Cereal and Pulses"
"Peas, dry","Cereal and Pulses"
"Barley","Cereal and Pulses"
"Oats","Cereal and Pulses"
"Millet","Cereal and Pulses"
"Quinoa","Cereal and Pulses"
"Broad beans and horse beans, dry","Cereal and Pulses"
"Lentils, dry","Cereal and Pulses"
"Rye","Cereal and Pulses"
"Fonio","Cereal and Pulses"
"Cow peas, dry","Cereal and Pulses"
"Buckwheat","Cereal and Pulses"
"Canary seed","Cereal and Pulses"
"Chick peas, dry","Cereal and Pulses"
"Pigeon peas, dry","Cereal and Pulses"
"Pulses n.e.","Cereal and Pulses"
"Other cereals n.e.","Cereal and Pulses"
"Bambara beans, dry","Cereal and Pulses"
"Tomatoes","Fruit and Vegetables"
"Cauliflowers and broccoli","Fruit and Vegetables"
"Cucumbers and gherkins","Fruit and Vegetables"
"Other beans, green","Fruit and Vegetables"
"Plantains and others","Fruit and Vegetables"
"Asparagus","Fruit and Vegetables"
"Cabbages","Fruit and Vegetables"
"Lettuce and chicory","Fruit and Vegetables"
"Peas, green","Fruit and Vegetables"
"Carrots and turnips","Fruit and Vegetables"
"Onions and shallots, dry (excluding dehydrated)","Fruit and Vegetables"
"Leeks and other alliaceous vegetables","Fruit and Vegetables"
"Green corn (maize)","Fruit and Vegetables"
"Grapes","Fruit and Vegetables"
"Apples","Fruit and Vegetables"
"Pears","Fruit and Vegetables"
"Apricots","Fruit and Vegetables"
"Peaches and nectarines","Fruit and Vegetables"
"Plums and sloes","Fruit and Vegetables"
"Blueberries","Fruit and Vegetables"
"Other berries and fruits of the genus Vaccinium n.e.","Fruit and Vegetables"
"Other vegetables, fresh n.e.","Fruit and Vegetables"
"Eggplants (aubergines)","Fruit and Vegetables"
"Okra","Fruit and Vegetables"
"Bananas","Fruit and Vegetables"
"Papayas","Fruit and Vegetables"
"Pineapples","Fruit and Vegetables"
"Other fruits, n.e.","Fruit and Vegetables"
"Green garlic","Fruit and Vegetables"
"Onions and shallots, green","Fruit and Vegetables"
"Avocados","Fruit and Vegetables"
"Spinach","Fruit and Vegetables"
"Pomelos and grapefruits","Fruit and Vegetables"
"Lemons and limes","Fruit and Vegetables"
"Oranges","Fruit and Vegetables"
"Broad beans and horse beans, green","Fruit and Vegetables"
"Mangoes, guavas, mangosteens","Fruit and Vegetables"
"Cantaloupes and other melons","Fruit and Vegetables"
"Other tropical and subtropical fruits, n.e.","Fruit and Vegetables"
"Other citrus fruit, n.e.","Fruit and Vegetables"
"Tangerines, mandarins, clementines","Fruit and Vegetables"
"Strawberries","Fruit and Vegetables"
"Pumpkins, squash and gourds","Fruit and Vegetables"
"Mushrooms and truffles","Fruit and Vegetables"
"Watermelons","Fruit and Vegetables"
"Dates","Fruit and Vegetables"
"Figs","Fruit and Vegetables"
"Pome fruit n.e.","Fruit and Vegetables"
"Kiwi fruit","Fruit and Vegetables"
"Persimmons","Fruit and Vegetables"
"Quinces","Fruit and Vegetables"
"Sour cherries","Fruit and Vegetables"
"Artichokes","Fruit and Vegetables"
"Cranberries and other fruits of the genus Vaccinium","Fruit and Vegetables"
"Raw milk of cattle","Meat and Animals"
"Meat of pig, fresh or chilled","Meat and Animals"
"Hen eggs in shell, fresh","Meat and Animals"
"Raw milk of sheep","Meat and Animals"
"Meat of chickens, fresh or chilled","Meat and Animals"
"Meat of cattle, fresh or chilled","Meat and Animals"
"Meat of sheep, fresh or chilled","Meat and Animals"
"Meat of goat, fresh or chilled","Meat and Animals"
"Meat of other domestic camelids (fresh)","Meat and Animals"
"Edible offal of cattle, fresh, chilled or frozen","Meat and Animals"
"Raw milk of goats","Meat and Animals"
"Edible offal of pigs, fresh, chilled or frozen","Meat and Animals"
"Cattle fat, unrendered","Meat and Animals"
"Chillies and peppers, dry (Capsicum spp. and Pimenta spp.), raw","Others"
"Pepper (Piper spp.), raw","Others"
"Cocoa beans","Others"
"Coffee, green","Others"
"Cashew nuts, in shell","Others"
"Areca nuts","Others"
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Others"
"Sugar cane","Others"
"Almonds, in shell","Others"
"Pistachios, in shell","Others"
"Walnuts, in shell","Others"
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","Others"
"Chestnuts, in shell","Others"
"Brazil nuts, in shell","Others"
"Natural honey","Others"
"Hazelnuts, in shell","Others"
"tea leaves","Others"
"Other sugar crops n.e.","Others"
"Groundnuts, excluding shelled","Root Tubers and Oil Bearing"
"Potatoes","Root Tubers and Oil Bearing"
"Cassava, fresh","Root Tubers and Oil Bearing"
"Edible roots and tubers with high starch or inulin content, n.e., fresh","Root Tubers and Oil Bearing"
"Yams","Root Tubers and Oil Bearing"
"Sweet potatoes","Root Tubers and Oil Bearing"
"Rapeseed or colza seed","Root Tubers and Oil Bearing"
"Linseed","Root Tubers and Oil Bearing"
"Poppy seed","Root Tubers and Oil Bearing"
"Soya beans","Root Tubers and Oil Bearing"
"Mustard seed","Root Tubers and Oil Bearing"
"Sunflower seed","Root Tubers and Oil Bearing"
"Safflower seed","Root Tubers and Oil Bearing"
"Coconuts, in shell","Root Tubers and Oil Bearing"
"Yautia","Root Tubers and Oil Bearing"
"Olives","Root Tubers and Oil Bearing"
"Hempseed","Root Tubers and Oil Bearing"
"Sesame seed","Root Tubers and Oil Bearing"
"Oil palm fruit","Root Tubers and Oil Bearing"
